episode,learning_rate,epsilon,reward,steps,exit_reason
58,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-429.00343058743454,191,terminated
59,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-441.7783265654302,198,terminated
60,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-441.95719813531923,202,terminated
61,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-431.232166370497,184,terminated
62,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-404.26534366222006,194,terminated
63,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-404.33448957622835,187,terminated
64,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-374.07614507696536,192,terminated
65,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-430.5923579494936,194,terminated
66,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-451.56831845232085,199,terminated
67,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-383.93796419327583,191,terminated
68,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-398.98881387424603,195,terminated
69,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-419.6564049313803,196,terminated
70,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-448.1474300497723,200,terminated
71,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-444.78443489238833,198,terminated
72,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-398.2947499708619,192,terminated
73,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-417.9881243440685,188,terminated
74,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-385.40377311397225,182,terminated
75,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-438.58157112954206,192,terminated
76,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-426.2659141980275,190,terminated
